Time,GLUE_mean,Upper_bound,Lower_bound
1.000000,15.567311,16.998787,13.309928
2.000000,15.342853,16.726413,13.135792
3.000000,15.202616,16.576757,12.999418
4.000000,15.339625,16.702077,13.143345
5.000000,15.867379,17.142283,13.709570
6.000000,16.591754,17.764473,14.539735
7.000000,17.203837,18.320218,15.238193
8.000000,17.689405,18.786651,15.812912
9.000000,18.226951,19.269882,16.457379
10.000000,18.792708,19.820633,17.096445
11.000000,19.138662,20.173382,17.401597
12.000000,18.818201,19.985157,16.816463
13.000000,17.611385,19.029763,15.252772
14.000000,16.346153,17.889427,13.897682
15.000000,15.924702,17.381652,13.603088
16.000000,16.074700,17.421354,13.874228
17.000000,16.327420,17.620039,14.189982
18.000000,16.459967,17.740218,14.335458
19.000000,16.255916,17.576459,14.083079
20.000000,15.687735,17.096754,13.475029
21.000000,14.930354,16.362455,12.716276
22.000000,14.093909,15.549864,11.911745
23.000000,13.291428,14.726449,11.111529
24.000000,12.604676,14.014293,10.408898
25.000000,12.010582,13.416008,9.800856
26.000000,11.608429,13.002949,9.390856
27.000000,11.350661,12.753233,9.133622
28.000000,11.100872,12.514570,8.889950
29.000000,11.254915,12.688315,9.015408
30.000000,12.247696,13.672176,9.959962
31.000000,13.414361,14.818870,11.144567
32.000000,13.897053,15.290745,11.674039
33.000000,13.819672,15.204377,11.613384
34.000000,13.382595,14.775440,11.189628
35.000000,12.578511,13.978631,10.398912
36.000000,11.621456,13.018398,9.449552
37.000000,10.790951,12.208587,8.632800
38.000000,10.140120,11.565037,8.012849
39.000000,9.579260,10.992293,7.493790
40.000000,9.115524,10.508995,7.070341
41.000000,8.792512,10.158726,6.773627
42.000000,8.572840,9.915608,6.576745
43.000000,8.400856,9.729987,6.425087
44.000000,8.219297,9.539661,6.269880
45.000000,7.945093,9.260958,6.030704
46.000000,8.774488,10.114384,6.759047
47.000000,12.543385,14.039482,10.177214
48.000000,15.688031,16.951678,13.505087
49.000000,16.555302,17.739780,14.503176
50.000000,16.359683,17.667240,14.213229
51.000000,15.872711,17.238481,13.663571
52.000000,15.800500,17.156147,13.603559
53.000000,15.881695,17.219721,13.707815
54.000000,15.667024,17.043871,13.480617
55.000000,15.180856,16.585933,12.975350
56.000000,14.539117,15.958855,12.348374
57.000000,13.728336,15.150078,11.559199
58.000000,12.782648,14.203063,10.615899
59.000000,12.507886,13.918522,10.251363
60.000000,13.370882,14.792029,11.092786
61.000000,14.348692,15.727770,12.115570
62.000000,14.678115,16.055387,12.494511
63.000000,14.180881,15.578090,12.016807
64.000000,13.091061,14.511336,10.943831
65.000000,11.908749,13.306870,9.748887
66.000000,11.945102,13.364881,9.670264
67.000000,13.313824,14.728647,11.021471
68.000000,14.141292,15.531209,11.913171
69.000000,13.919539,15.306518,11.731001
70.000000,13.043706,14.452321,10.877096
71.000000,11.964964,13.360157,9.797196
72.000000,10.922246,12.333208,8.776412
73.000000,9.939603,11.363079,7.845665
74.000000,8.930394,10.306114,6.922851
75.000000,7.958047,9.278344,6.044415
76.000000,7.112986,8.373190,5.302318
77.000000,6.360632,7.560688,4.650620
78.000000,5.816462,6.973869,4.177526
79.000000,5.531251,6.644623,3.923342
80.000000,5.823126,6.937150,4.174581
81.000000,8.717764,10.048698,6.719476
82.000000,11.900616,13.333110,9.669313
83.000000,12.657924,14.053171,10.409537
84.000000,12.855429,14.262732,10.606273
85.000000,12.991663,14.391331,10.745219
86.000000,12.952848,14.353416,10.717526
87.000000,12.422282,13.806820,10.215407
88.000000,11.601497,13.008296,9.415269
89.000000,11.365777,12.780852,9.129872
90.000000,12.053625,13.489955,9.776941
91.000000,12.900007,14.316712,10.625985
92.000000,13.396231,14.808962,11.154661
93.000000,13.412107,14.807343,11.195102
94.000000,12.759063,14.142074,10.574930
95.000000,11.481969,12.877692,9.340614
96.000000,9.882137,11.266450,7.811482
97.000000,8.411625,9.749752,6.445811
98.000000,8.534271,9.891803,6.513879
99.000000,12.407849,13.910685,10.028424
100.000000,15.900645,17.114987,13.744235
101.000000,17.320039,18.340030,15.474099
102.000000,18.444836,19.375283,16.875335
103.000000,19.263298,20.211731,17.668954
104.000000,19.315794,20.385515,17.483915
105.000000,18.642788,19.866365,16.544600
106.000000,17.348863,18.836897,14.922300
107.000000,15.083908,16.828112,12.574596
108.000000,12.523530,14.209336,10.203721
109.000000,10.933224,12.430498,8.722372
110.000000,11.036268,12.509448,8.776427
111.000000,12.875269,14.321473,10.549472
112.000000,14.609399,15.976646,12.369590
113.000000,15.088256,16.438706,12.905727
114.000000,14.561190,15.952260,12.389110
115.000000,13.508202,14.931291,11.356756
116.000000,12.551213,13.964600,10.375107
117.000000,11.901301,13.314462,9.697490
118.000000,11.504690,12.901599,9.292012
119.000000,12.185786,13.617599,9.893258
120.000000,13.600756,15.005148,11.328151
121.000000,14.300147,15.687514,12.082775
122.000000,14.407723,15.797716,12.219447
123.000000,14.401934,15.792577,12.214930
124.000000,14.602599,15.989967,12.414153
125.000000,15.889239,17.107808,13.741972
126.000000,17.476237,18.459221,15.707418
127.000000,18.611874,19.546838,17.034090
128.000000,19.274824,20.239233,17.645982
129.000000,19.511320,20.511132,17.806544
130.000000,19.644718,20.663881,17.918897
131.000000,19.641956,20.718267,17.837954
132.000000,19.296446,20.455885,17.332807
133.000000,18.721099,19.975283,16.609536
134.000000,17.673781,19.108083,15.292790
135.000000,15.790754,17.498323,13.272469
136.000000,13.447853,15.166658,11.097371
137.000000,11.412326,12.935331,9.196362
138.000000,10.058888,11.499076,7.934810
139.000000,9.204532,10.615893,7.159253
140.000000,8.609537,9.970749,6.615512
141.000000,8.225147,9.568142,6.270087
142.000000,8.152222,9.466759,6.201685
143.000000,8.052221,9.359661,6.126943
144.000000,7.584890,8.874951,5.720772
145.000000,7.041556,8.295136,5.244027
146.000000,6.595411,7.807757,4.855722
147.000000,6.206118,7.386602,4.518383
148.000000,5.952222,7.109833,4.292972
149.000000,5.917167,7.044668,4.261069
150.000000,5.770975,6.902900,4.146794
151.000000,5.346993,6.440486,3.773139
152.000000,4.985899,6.051299,3.450196
153.000000,4.587313,5.623681,3.104224
154.000000,4.002043,4.981064,2.600503
155.000000,3.401119,4.327089,2.085070
156.000000,2.882204,3.759533,1.662359
157.000000,2.551982,3.393803,1.393307
158.000000,2.351645,3.152934,1.239372
159.000000,2.087636,2.855978,1.018330
160.000000,1.870191,2.606886,0.838440
161.000000,1.781136,2.501909,0.768616
162.000000,1.737774,2.449895,0.741437
163.000000,1.532980,2.220687,0.571852
