White noise,Positive bias,Negative bias
29.270032,28.290022,30.079244
29.071107,28.496945,30.169459
29.180413,28.445224,30.062276
29.265422,28.465660,29.993873
29.182564,28.410585,29.971986
29.178230,28.349335,30.070707
29.240689,28.449879,30.103466
29.266304,28.366263,30.075658
29.221009,28.488084,30.126439
29.191542,28.403825,30.062948
29.238049,28.251624,30.096714
29.213154,28.368779,30.146488
29.288991,28.441898,30.106731
29.121496,28.294608,30.064931
29.239392,28.339309,30.000010
29.200442,28.419613,30.052079
29.147852,28.289407,30.056340
29.317478,28.560667,30.019450
29.257574,28.417169,29.928575
29.115851,28.504581,30.009756
29.063440,28.281005,30.149620
29.246454,28.457445,30.069240
29.247694,28.363272,30.074244
29.230729,28.392788,29.995468
29.206953,28.322111,30.072594
29.298700,28.345307,30.061793
29.195673,28.368026,30.050708
29.217111,28.234644,30.067084
29.218209,28.351904,30.077660
29.258479,28.472387,30.118299
29.145126,28.442399,29.928543
29.202259,28.443494,30.069876
29.331669,28.472492,29.990851
29.307417,28.379738,30.016885
29.255320,28.497361,30.046640
29.266093,28.377707,30.007387
29.269200,28.417089,29.993438
29.173963,28.379351,29.880189
29.120716,28.433760,30.023027
29.135507,28.308109,30.152146
29.148267,28.372573,29.875659
29.166233,28.413730,30.110847
29.132825,28.527848,30.077460
29.250331,28.307269,30.018458
29.163207,28.346748,30.133450
29.163761,28.270406,29.901302
29.159654,28.419106,29.914792
29.154121,28.431163,30.047490
29.269504,28.378107,29.967760
29.254043,28.364716,29.968679
29.171889,28.347780,30.140496
29.087439,28.412208,30.045004
29.205347,28.489766,30.035360
29.170289,28.269644,29.939370
29.277960,28.372940,30.100842
29.176505,28.374100,29.881463
29.211706,28.364833,30.129186
29.244381,28.396511,30.093147
29.245310,28.396094,29.971114
29.169523,28.381750,29.943107
29.231664,28.327572,30.033026
29.133597,28.301302,30.013298
29.297451,28.429314,30.162378
29.213333,28.425307,29.944308
29.108295,28.455022,29.985648
29.184831,28.471480,30.018877
29.207608,28.461689,29.991149
29.273037,28.427123,30.006730
29.171271,28.465667,29.941440
29.210742,28.383321,30.107409
29.201085,28.307341,29.996924
29.341717,28.462793,30.056354
29.213889,28.408402,30.097665
29.163377,28.333065,30.065888
29.196271,28.429135,30.105103
29.175739,28.213025,29.998255
29.202175,28.300018,29.931790
29.351431,28.323781,30.088317
29.177989,28.510493,29.962665
29.210842,28.375851,30.012848
29.194555,28.437979,30.003666
29.293020,28.388931,30.103626
29.226775,28.206120,29.957845
29.227550,28.369422,30.040025
29.225085,28.326291,30.045858
29.202910,28.444241,30.023680
29.267412,28.443964,29.962575
29.260118,28.300915,30.049028
29.182891,28.386580,29.960384
29.271867,28.365840,30.066394
29.191282,28.352144,29.960650
29.114012,28.328650,30.018109
29.212112,28.401930,30.140107
29.157345,28.334642,30.032446
29.253542,28.448124,29.981461
29.247829,28.442699,30.086057
29.152292,28.427514,29.930188
29.289405,28.325231,29.923219
29.287576,28.460785,29.904266
29.171935,28.427970,30.065475
29.329968,28.332427,30.068538
29.187942,28.475782,30.125915
29.168084,28.457505,29.891084
29.110318,28.288549,29.933848
29.178124,28.356030,30.045752
29.270375,28.370608,29.915359
29.205017,28.471173,29.960217
29.239994,28.437016,29.965337
29.162775,28.495320,30.066579
29.089632,28.424922,30.057813
29.235079,28.364639,29.900035
29.305836,28.527427,30.078898
29.128156,28.457009,30.084242
29.151980,28.327867,29.966407
29.089113,28.393712,30.065456
29.336891,28.399959,29.979528
29.195079,28.327132,30.020418
29.127700,28.359951,29.905259
29.257687,28.460205,30.005950
29.134620,28.290550,30.026248
29.173311,28.476482,30.039178
29.286987,28.432578,30.097313
