White noise,Positive bias,Negative bias
22.585442,21.426271,23.766028
22.465359,21.648243,23.811955
22.531156,21.533504,23.708117
22.604784,21.549427,23.632656
22.608430,21.466693,23.636648
22.599958,21.469550,23.787597
22.597314,21.546515,23.762519
22.614529,21.506136,23.716157
22.560655,21.579887,23.809743
22.536687,21.493448,23.744065
22.626187,21.418424,23.723924
22.555045,21.476812,23.763059
22.660800,21.598297,23.709415
22.491947,21.458596,23.695993
22.579293,21.466668,23.637593
22.600586,21.564742,23.711653
22.596680,21.464788,23.701743
22.702293,21.622696,23.705803
22.629855,21.439138,23.623080
22.533974,21.623935,23.661873
22.484112,21.415867,23.788078
22.628759,21.572630,23.772999
22.575592,21.510042,23.739905
22.664142,21.538052,23.647877
22.595093,21.456073,23.803466
22.644958,21.482029,23.694024
22.550056,21.449692,23.677079
22.587108,21.346480,23.660458
22.560685,21.434503,23.717847
22.670684,21.580341,23.845733
22.521300,21.614462,23.640062
22.559343,21.548672,23.707668
22.672180,21.571024,23.702269
22.629097,21.454755,23.726305
22.632105,21.597274,23.676182
22.633555,21.464541,23.628080
22.621724,21.538920,23.668792
22.551976,21.556136,23.533878
22.550207,21.580657,23.659726
22.536105,21.432619,23.776922
22.542863,21.550995,23.616083
22.518841,21.614026,23.749980
22.533534,21.636622,23.794229
22.592880,21.455658,23.660073
22.614476,21.516957,23.797842
22.564339,21.430166,23.536003
22.546837,21.523284,23.587086
22.517874,21.526954,23.724604
22.572858,21.486055,23.633485
22.647148,21.470258,23.614494
22.548397,21.445128,23.806230
22.500191,21.515484,23.688006
22.570901,21.679570,23.682866
22.553792,21.407505,23.579332
22.687367,21.516768,23.763304
22.579269,21.503514,23.546621
22.592179,21.560881,23.774835
22.561884,21.581180,23.731574
22.587062,21.533555,23.692120
22.526631,21.487391,23.596534
22.609961,21.455645,23.651786
22.505650,21.428106,23.677636
22.645121,21.503470,23.845809
22.569765,21.592962,23.626967
22.521773,21.533226,23.632920
22.560079,21.602310,23.671222
22.577463,21.609692,23.635074
22.631003,21.477230,23.689061
22.579225,21.612085,23.671432
22.571426,21.520689,23.763501
22.579314,21.468437,23.787683
22.715274,21.573624,23.728182
22.583787,21.480718,23.741663
22.522374,21.474341,23.683244
22.610760,21.515979,23.738922
22.522446,21.372961,23.674912
22.596879,21.420237,23.581827
22.687112,21.488541,23.691141
22.573365,21.555474,23.633292
22.644888,21.531094,23.620659
22.542012,21.527007,23.671494
22.620556,21.537728,23.746370
22.624020,21.402463,23.649596
22.567534,21.538695,23.710778
22.637100,21.444064,23.682550
22.585229,21.604055,23.717015
22.624803,21.546223,23.647390
22.654385,21.477646,23.715905
22.544771,21.488932,23.648109
22.578609,21.537150,23.727180
22.592003,21.472762,23.605536
22.521392,21.428339,23.732294
22.510000,21.499797,23.774959
22.523429,21.461615,23.679458
22.615314,21.586287,23.624365
22.597251,21.601448,23.689151
22.564050,21.564430,23.660492
22.698419,21.483091,23.634145
22.611700,21.573239,23.532826
22.585665,21.561020,23.739704
22.681547,21.571333,23.787450
22.586012,21.570701,23.797500
22.587071,21.635848,23.584532
22.465062,21.451813,23.644797
22.538637,21.527242,23.683095
22.595257,21.511198,23.628336
22.549056,21.574910,23.618951
22.605290,21.599436,23.667524
22.511190,21.606458,23.683209
22.479868,21.568344,23.663032
22.575418,21.519391,23.596389
22.648657,21.586976,23.730076
22.529619,21.553457,23.693885
22.572686,21.462416,23.711297
22.490339,21.596338,23.707016
22.668740,21.521812,23.724088
22.624345,21.495579,23.699486
22.548048,21.529650,23.602212
22.615996,21.577985,23.650168
22.547045,21.427736,23.726266
22.564200,21.608433,23.651259
22.653416,21.579897,23.833707
22.558689,21.545234,23.775084
22.498788,21.558123,23.776623
22.634947,21.448059,23.673211
22.557924,21.450805,23.719211
22.571746,21.509717,23.842469
22.569330,21.523934,23.711309
22.524569,21.600970,23.606401
22.635471,21.586863,23.690858
22.488344,21.447660,23.729542
22.619778,21.431906,23.704403
22.514440,21.482182,23.717115
22.557909,21.453100,23.687265
22.537842,21.577373,23.765201
22.595712,21.449827,23.646458
22.507433,21.520642,23.551050
22.569259,21.471141,23.677436
22.640110,21.547298,23.693815
22.497618,21.502886,23.782788
22.590809,21.543812,23.741276
22.611879,21.552619,23.697568
22.614540,21.460473,23.691569
22.593590,21.423554,23.666623
22.505985,21.556470,23.678610
22.594209,21.449186,23.644612
22.635914,21.458686,23.638349
22.536761,21.565693,23.610159
22.635705,21.462340,23.793323
22.583425,21.584629,23.664511
22.645170,21.572884,23.659403
22.680167,21.562680,23.697501
22.517787,21.608038,23.680200
22.728609,21.533579,23.591394
22.697387,21.456640,23.707755
22.695946,21.549586,23.748160
22.579938,21.446125,23.671883
22.641024,21.469476,23.590139
22.570617,21.597660,23.646343
22.593087,21.556929,23.631169
22.537472,21.605615,23.685762
22.507986,21.474083,23.699804
22.566426,21.589248,23.678832
22.608144,21.617501,23.711581
22.532704,21.437108,23.778516
22.507537,21.437841,23.721192
22.590517,21.488511,23.702557
22.585354,21.471809,23.702980
22.497300,21.498131,23.795796
22.546464,21.441124,23.678483
22.620398,21.637472,23.658395
22.664925,21.509676,23.705210
22.525569,21.503788,23.665736
22.537962,21.544344,23.642014
22.646259,21.455445,23.577059
22.637430,21.520647,23.636975
22.540616,21.448878,23.691116
22.662649,21.564395,23.721465
22.532050,21.600564,23.650993
22.589410,21.601514,23.791877
22.638522,21.511436,23.670406
22.468306,21.525536,23.611978
22.564544,21.424935,23.776114
22.618534,21.540353,23.529446
22.578222,21.417551,23.815714
22.548231,21.555379,23.813237
22.476548,21.516029,23.628328
22.651678,21.526019,23.662370
22.482597,21.520059,23.603353
22.551295,21.617563,23.723257
22.513671,21.458836,23.753286
22.521094,21.574257,23.707577
22.525589,21.523664,23.734726
22.531271,21.450125,23.605791
22.620227,21.573317,23.710886
22.580365,21.531270,23.755900
22.665892,21.427815,23.697828
22.598204,21.481373,23.763656
22.552519,21.366821,23.756986
22.482446,21.516562,23.648073
22.505507,21.504470,23.668712
22.554975,21.683469,23.710218
22.400998,21.376933,23.475502
22.562475,21.429398,23.703857
22.545246,21.589974,23.580565
22.666320,21.523386,23.716022
22.617009,21.422671,23.694236
22.552901,21.566147,23.747658
