White noise,Positive bias,Negative bias
21.379236,20.935651,21.867905
21.367892,21.029274,21.859875
21.370808,20.955588,21.831017
21.395945,20.970483,21.793167
21.430154,20.920177,21.808613
21.424941,20.936776,21.882109
21.396295,20.968026,21.848659
21.402817,20.980348,21.832351
21.382035,20.979906,21.871172
21.389145,20.946642,21.851215
21.423320,20.939230,21.835109
21.372956,20.938310,21.836182
21.423366,21.007936,21.814554
21.366752,20.959394,21.820532
21.388007,20.945557,21.804178
21.418746,20.997120,21.848846
21.432305,20.972445,21.829619
21.453178,20.993138,21.856042
21.418565,20.899085,21.815158
21.400956,21.013800,21.810212
21.382998,20.927590,21.855683
21.422111,20.983686,21.879038
21.386608,20.978766,21.858696
21.457699,20.989252,21.810686
21.411515,20.937030,21.897113
21.412936,20.956298,21.825895
21.384009,20.921900,21.818146
21.397511,20.892941,21.793469
21.382850,20.918327,21.833580
21.447916,20.995870,21.906572
21.373866,21.031589,21.829195
21.382093,20.967074,21.829449
21.414464,20.985048,21.847429
21.404103,20.911104,21.862528
21.417623,20.988691,21.814365
21.414758,20.924913,21.792433
21.407367,20.978934,21.832135
21.388520,21.001352,21.771121
21.413950,21.001492,21.807213
21.397993,20.922682,21.837943
21.387014,20.994745,21.844940
21.371984,21.033541,21.846974
21.391056,21.015149,21.889527
21.384473,20.953630,21.807551
21.439087,20.993705,21.870371
21.403901,20.945042,21.773356
21.389066,20.959916,21.801989
21.377690,20.953713,21.847503
21.363707,20.942611,21.815334
21.438572,20.944997,21.799970
21.384294,20.922479,21.869136
21.383956,20.958974,21.816069
21.392183,21.050007,21.832858
21.390660,20.928406,21.787926
21.455171,20.982311,21.852433
21.408897,20.963517,21.782139
21.405910,21.011125,21.849607
21.370502,21.015369,21.845301
21.391699,20.978876,21.861692
21.372319,20.942820,21.795711
21.418225,20.946540,21.792419
21.368096,20.931478,21.822859
21.409890,20.947819,21.896505
21.389356,21.017060,21.813937
21.391285,20.952090,21.809800
21.397575,21.008904,21.816183
21.396256,21.018918,21.807570
21.405958,20.922552,21.830244
21.403114,21.018584,21.846554
21.393532,20.966999,21.862524
21.396709,20.958965,21.918110
21.445962,20.980428,21.848724
21.404255,20.925774,21.839636
21.369167,20.956094,21.808472
21.425455,20.953756,21.837026
21.365772,20.928459,21.839439
21.418267,20.926254,21.791190
21.422599,20.974354,21.804372
21.406632,20.949938,21.816466
21.441861,20.990976,21.775614
21.376680,20.958894,21.828011
21.396725,20.988423,21.838536
21.425042,20.933410,21.829151
21.378942,21.001281,21.835664
21.436552,20.931389,21.821325
21.409816,21.011888,21.855221
21.413931,20.969033,21.818422
21.436063,20.971648,21.840587
21.384822,20.945563,21.826812
21.377041,20.987593,21.834369
21.417649,20.947006,21.800694
21.385464,20.923927,21.869439
21.339233,20.949077,21.837336
21.370652,20.945001,21.830148
21.402277,21.001214,21.802546
21.395682,21.018557,21.800655
21.402372,20.985970,21.861899
21.458543,20.960088,21.835544
21.394311,20.981448,21.761569
21.414379,20.987249,21.849976
21.431944,21.038181,21.882398
21.414013,20.968231,21.864768
21.419722,21.041112,21.821493
21.351016,20.955671,21.825160
21.380291,20.991035,21.818692
21.386909,20.967960,21.829405
21.382095,20.977867,21.807646
21.400644,21.011000,21.843038
21.365928,20.993194,21.809358
21.369332,20.995149,21.805177
21.385404,20.985640,21.813748
21.408104,20.973491,21.840405
21.388321,20.976149,21.812045
21.419362,20.940121,21.869129
21.373627,21.026235,21.833363
21.422810,20.972177,21.871828
21.436413,20.975409,21.836620
21.408123,20.987654,21.815304
21.405813,20.988211,21.812972
21.399692,20.934402,21.859270
21.399089,21.003277,21.798947
21.432397,21.008148,21.904554
21.409019,20.955894,21.837151
21.384179,20.984735,21.865866
21.441792,20.928569,21.830864
21.378840,20.936140,21.825571
21.411943,20.959518,21.898397
21.389566,20.964189,21.825749
21.389369,20.998358,21.814587
21.413859,20.996610,21.841479
21.376588,20.950164,21.853539
21.437146,20.934986,21.839520
21.374107,20.927573,21.867482
21.386606,20.958615,21.843844
21.398693,20.976113,21.826387
21.398331,20.921942,21.813314
21.386443,20.973683,21.783056
21.398100,20.941520,21.833491
21.405128,21.015043,21.830314
21.361407,20.975990,21.849700
21.416060,20.958453,21.839632
21.425850,20.967806,21.816619
21.422857,20.935453,21.807024
21.381037,20.917330,21.847202
21.365658,20.982300,21.840823
21.392586,20.954943,21.805492
21.421221,20.958646,21.808279
21.379498,20.984702,21.820646
21.414396,20.973906,21.885664
21.391503,21.009062,21.807247
21.428377,21.020340,21.796142
21.427410,20.999600,21.837031
21.384620,21.005412,21.827807
21.483079,21.006922,21.809302
21.434062,20.951480,21.831417
21.443842,20.965238,21.854942
21.398860,20.918450,21.831542
21.400656,20.933041,21.796620
21.395376,21.012720,21.827327
21.404778,20.967861,21.802978
21.378404,21.009257,21.816538
21.374917,20.939226,21.857506
21.413642,20.997274,21.808516
21.426619,21.018414,21.818413
21.387764,20.958314,21.877938
21.381440,20.920399,21.837658
21.389422,20.969203,21.825816
21.416637,20.932674,21.812730
21.371901,20.959429,21.846877
21.386512,20.948304,21.814093
21.412980,20.997239,21.817113
21.425235,20.998782,21.850535
21.361373,20.962299,21.850157
21.375724,21.000566,21.818485
21.432609,20.980010,21.792705
21.417945,20.973211,21.806017
21.378643,20.923007,21.847591
21.437701,21.003996,21.841166
21.391786,21.028852,21.772534
21.387543,21.004456,21.856719
21.441845,20.960119,21.812659
21.376714,20.979553,21.812722
21.388334,20.919326,21.846165
21.418245,20.970129,21.772158
21.407376,20.925447,21.866062
21.363565,20.994039,21.889271
21.349076,20.939834,21.810819
21.440864,20.976370,21.846126
21.340699,20.958634,21.812187
21.385831,21.011870,21.812468
21.356118,20.962264,21.839455
21.390975,20.984144,21.864418
21.370622,20.983873,21.838224
21.359722,20.972247,21.842130
21.415849,20.981095,21.850969
21.403496,20.969434,21.835885
21.455584,20.958394,21.863881
21.383154,20.953470,21.858506
21.407123,20.921090,21.851201
21.345000,20.969034,21.807623
21.385860,20.984238,21.846644
21.383645,21.026188,21.818691
21.337771,20.894741,21.752093
21.393296,20.929838,21.854648
21.397592,20.972553,21.768607
21.435491,20.981769,21.837960
21.419050,20.952473,21.822458
21.410791,21.000216,21.839087
21.427601,20.918921,21.872936
21.402208,20.951326,21.831246
21.347134,21.001860,21.809127
21.395798,21.041183,21.860269
21.411060,20.978456,21.837888
21.395435,20.885936,21.827260
21.405965,20.937444,21.831360
21.412615,20.959626,21.801591
21.424884,20.998999,21.902007
21.409360,20.995907,21.748301
21.379257,20.996738,21.852255
21.406216,20.973978,21.808903
21.409023,21.035334,21.809859
21.424760,21.047742,21.803358
21.390643,21.037213,21.868955
21.450310,20.991864,21.806157
21.386440,20.939498,21.810251
21.374282,21.042660,21.807574
21.409813,20.975900,21.838118
21.396454,20.973231,21.776673
21.429769,20.958159,21.826442
21.383434,20.980846,21.842108
21.416882,20.956118,21.848008
21.426848,20.953518,21.902669
21.409773,21.025997,21.807758
21.395275,20.982357,21.854062
21.423925,20.913521,21.806133
21.406134,21.013196,21.813616
21.405832,20.927841,21.803189
21.429549,20.952225,21.864458
21.364158,20.989658,21.820530
21.386087,20.985478,21.833419
21.407605,20.929561,21.811397
21.432981,21.006455,21.802631
21.417543,20.958955,21.811310
21.379146,21.019307,21.796656
21.434749,21.043968,21.842285
21.380724,20.970863,21.839681
21.421720,20.965461,21.850073
21.442520,20.963686,21.800860
21.390570,20.926309,21.890554
21.388032,20.966915,21.801189
21.369994,20.999305,21.825014
21.437228,20.978712,21.836217
21.396383,20.995649,21.837976
21.396063,20.963667,21.782754
21.378762,21.003223,21.824460
21.410534,20.999637,21.851645
21.371807,21.015797,21.753172
21.380414,20.945079,21.819828
21.378015,20.956402,21.790021
21.422404,20.902586,21.864962
21.380442,20.970122,21.869881
21.364513,20.945866,21.844527
21.402329,20.906612,21.825937
21.385662,21.009294,21.854444
21.404598,20.978181,21.826054
21.422737,20.962911,21.792057
21.383056,20.964051,21.834948
21.375952,20.963573,21.852940
21.367956,21.002929,21.853410
21.362726,21.000294,21.808711
21.406745,20.950296,21.824601
21.404716,20.959664,21.840573
21.427747,20.997755,21.821283
21.372415,20.961604,21.812095
21.398940,20.958343,21.808455
21.419875,20.957950,21.825689
21.380926,20.950531,21.810076
21.414159,20.939230,21.803635
21.384404,20.998968,21.840858
21.353760,21.011688,21.803299
21.432082,20.991297,21.823168
21.376508,21.005307,21.856863
21.434318,21.002404,21.813310
21.337764,20.947718,21.862068
21.400561,20.937521,21.844934
21.427918,20.988210,21.842791
21.445384,20.961465,21.840594
21.391113,20.959694,21.757385
21.408630,20.906916,21.845544
21.417218,20.975744,21.802870
21.408647,20.935322,21.824135
21.432051,20.918972,21.785912
21.388566,20.992718,21.832617
21.433560,20.962879,21.830714
21.366126,20.997580,21.843489
21.401523,20.950220,21.825381
21.401651,20.931912,21.810216
21.413155,20.938691,21.823955
21.373485,20.972231,21.774220
21.398084,20.978509,21.783583
21.434326,20.994324,21.872450
21.402589,20.960754,21.811835
21.374565,20.949099,21.811611
21.374640,20.977180,21.807297
21.366307,20.969013,21.818448
21.390284,20.988674,21.812074
21.358432,20.937246,21.819413
21.390685,20.996147,21.829038
21.372461,20.942581,21.828001
21.428391,20.978459,21.838188
21.378868,20.986922,21.844381
21.381635,21.010859,21.850701
21.408738,20.964471,21.842069
21.389928,20.991186,21.815150
21.448120,20.931027,21.815592
21.385816,20.979368,21.805672
21.349478,20.965144,21.833047
21.478537,20.968563,21.845535
21.395399,21.008186,21.842991
21.401063,20.953745,21.830688
21.370371,20.975879,21.804992
21.401992,20.991479,21.868215
21.394596,20.956537,21.815096
21.347403,21.021926,21.848577
21.393694,20.998904,21.838617
21.384948,20.907040,21.855637
21.385404,20.966420,21.817993
21.393799,20.978337,21.811883
21.375943,20.967337,21.779355
21.368641,20.975726,21.873812
21.375632,20.971685,21.820817
21.364485,20.935677,21.820718
21.400418,21.013763,21.852367
21.361664,20.967764,21.803572
21.389587,20.965500,21.816264
21.415915,20.985077,21.867078
21.406764,20.952722,21.820862
21.417191,20.978422,21.831505
21.445762,21.002668,21.829824
21.441961,20.970025,21.848512
21.400535,21.013672,21.844254
21.399198,20.973752,21.827715
21.436987,20.969027,21.840679
21.409537,20.925925,21.858609
21.397531,20.983086,21.801179
21.379024,20.981564,21.833404
21.409743,20.915836,21.855712
21.436867,20.965600,21.838862
21.370068,20.950224,21.856557
21.404816,20.944410,21.808307
21.393599,20.951689,21.870327
21.388448,20.945534,21.827412
21.411961,20.961628,21.848966
21.440232,20.982028,21.822916
21.383450,20.960533,21.835348
21.376370,20.979888,21.823405
21.393441,20.941405,21.794966
21.377575,20.962999,21.832123
21.369111,20.953281,21.828358
21.414737,20.981151,21.824843
21.428813,20.992107,21.855349
21.419065,21.002997,21.812806
21.376465,20.964977,21.872548
21.383343,20.944355,21.831039
21.383220,21.015510,21.823908
21.391444,20.951983,21.774245
21.391449,20.936778,21.807990
21.392590,20.993148,21.790576
21.395996,20.955051,21.842815
21.398008,20.971018,21.838325
21.447950,20.968395,21.770548
21.409262,20.996777,21.809744
21.377169,20.960548,21.775661
21.429550,20.984954,21.830807
21.398724,20.981181,21.844182
21.427524,21.005918,21.816591
21.392749,20.956380,21.839313
21.398133,20.963759,21.846690
21.405981,20.913401,21.878343
21.416187,20.994520,21.863265
21.393233,20.959597,21.796419
21.386941,20.987222,21.807846
21.388043,20.948785,21.808589
21.349949,21.016993,21.826583
21.398989,20.954293,21.821186
21.416710,20.966717,21.833475
21.404082,20.961982,21.815613
21.380594,21.037665,21.889338
21.389784,20.988694,21.864070
21.367702,20.979890,21.777878
21.411091,20.937133,21.794525
21.404209,20.959362,21.860307
21.390570,20.952926,21.777183
21.389886,20.977066,21.846399
21.383894,20.991917,21.823999
21.420689,20.892435,21.774801
21.405294,20.959707,21.790478
21.396807,20.997513,21.822248
21.395326,20.895450,21.799445
21.393060,20.972222,21.826736
21.418511,20.976605,21.828320
21.395034,21.000268,21.800378
21.361500,20.934575,21.805759
21.376270,20.979429,21.835885
21.408385,20.998716,21.803144
21.423939,20.985060,21.833873
21.396968,20.973816,21.831009
21.405512,20.972585,21.833571
21.343451,20.938828,21.799335
21.383546,20.982783,21.884116
21.417125,20.999910,21.861910
21.378183,20.970736,21.787748
21.435965,20.955026,21.841366
21.408977,20.904627,21.783651
21.422354,20.973859,21.819991
21.399819,20.962450,21.836559
21.387784,20.933795,21.829635
21.364559,21.017688,21.859475
21.386827,20.972238,21.808826
21.433094,20.971079,21.827615
21.369363,20.970080,21.822553
21.397935,20.929219,21.837719
21.399333,20.969807,21.829311
21.392797,20.939769,21.768055
21.379545,20.965840,21.844469
21.413471,21.004261,21.843869
21.343691,20.971537,21.810261
21.357462,20.964599,21.829478
21.391677,20.996590,21.819769
21.404691,20.956678,21.803307
21.331676,20.990550,21.870051
21.384750,20.969336,21.800342
21.426344,20.995585,21.819555
21.393651,20.935981,21.835067
21.376698,20.938177,21.799896
21.408101,20.973176,21.850010
21.435711,20.951272,21.871077
21.391716,20.959280,21.843833
21.379285,20.934505,21.872930
21.371261,20.985181,21.791946
21.411652,20.976107,21.827559
21.422736,21.030789,21.815420
21.369376,20.974003,21.854056
21.352800,20.993486,21.800842
21.378384,21.045815,21.843749
21.388784,20.932830,21.775674
21.417793,21.000681,21.862315
21.413069,20.975759,21.832515
21.380194,20.935649,21.819155
21.355419,20.939409,21.795192
21.344097,21.002215,21.797547
21.379904,20.986183,21.831417
21.406890,21.014969,21.863795
21.430964,20.984430,21.802835
21.442958,20.973149,21.820261
21.378909,20.998314,21.800655
21.402656,20.965594,21.854353
21.422918,20.940256,21.825913
21.398146,20.909386,21.837167
21.354786,20.973201,21.839234
21.429116,20.915348,21.861659
21.378781,20.976394,21.838961
21.371410,20.971708,21.790935
21.383402,20.951116,21.819777
21.377641,20.959220,21.830128
21.384128,20.923987,21.820011
21.377848,20.960349,21.864458
21.410190,20.993146,21.877261
21.418278,20.957610,21.844571
21.373656,20.979961,21.859853
21.407082,20.936260,21.813520
21.370469,20.957726,21.798040
21.407502,20.953657,21.858203
21.377918,20.977633,21.852086
21.362634,20.890971,21.832978
21.431518,20.928002,21.895382
21.371662,21.007153,21.874751
21.404189,20.966932,21.791891
21.393650,20.963730,21.851370
21.414909,20.966005,21.828723
21.397939,20.957478,21.810764
21.390994,20.978216,21.831856
21.422450,20.946288,21.852130
21.388084,20.974292,21.803079
21.394996,20.933973,21.812842
21.409734,20.997646,21.818285
21.382585,20.993186,21.853391
21.402045,20.960545,21.778561
21.401854,21.000165,21.811548
21.406698,21.017876,21.792984
21.391112,21.004189,21.870132
21.426395,20.979745,21.814449
21.436992,20.990806,21.828262
21.407179,20.959309,21.882567
21.391595,21.000252,21.773739
21.365011,21.012282,21.814927
21.431021,20.909325,21.825960
21.374544,20.978261,21.803541
21.403468,21.004907,21.833327
21.387808,21.040567,21.848071
21.414715,20.937608,21.909973
21.375917,20.952213,21.866450
21.373380,20.903294,21.828636
21.409394,20.957951,21.877037
21.378386,20.988433,21.829256
21.390392,20.995318,21.813460
21.385086,21.004792,21.891720
21.396850,20.990934,21.808763
21.431425,20.982075,21.776896
21.415037,20.964889,21.831846
21.382226,20.964542,21.822316
21.376911,20.957758,21.793508
21.396392,20.936018,21.854392
21.386631,20.972677,21.813214
21.418818,20.981511,21.807944
21.387157,21.026802,21.809477
21.409468,20.983073,21.842720
21.379478,20.904501,21.829254
21.422910,20.930937,21.820059
21.384412,21.023337,21.759725
21.413700,20.981927,21.826744
21.419751,21.033983,21.837133
21.381535,20.987963,21.771804
21.402760,20.939524,21.857754
21.425159,20.937676,21.830770
21.373036,20.985329,21.821041
21.407562,21.027419,21.862065
21.436742,20.988135,21.843377
21.423200,20.969650,21.853513
21.372063,20.917139,21.886662
21.458819,20.949127,21.853259
21.450782,20.984195,21.844465
21.381395,21.014862,21.855412
21.387634,20.964805,21.844674
21.419270,20.949381,21.823190
21.387353,21.002114,21.795037
21.448719,20.898894,21.822918
21.357180,20.963081,21.851122
21.388274,20.986660,21.869186
21.463772,20.989113,21.877493
21.427665,20.996593,21.804336
21.385289,20.921913,21.852235
21.435064,20.950943,21.898272
21.368813,20.950695,21.819276
21.435276,20.960416,21.823931
21.394232,20.994096,21.827089
21.368415,20.914760,21.873556
21.395330,20.998234,21.821321
21.393996,20.997057,21.838164
21.372131,20.992443,21.852898
21.347292,20.945213,21.822463
21.387540,21.048400,21.831574
21.403002,20.924661,21.815312
21.370348,20.928613,21.786418
21.409434,20.952104,21.831354
21.394588,20.942185,21.802716
21.408527,20.949459,21.793583
21.387129,20.950870,21.858951
21.381167,20.945079,21.819103
21.390210,20.955041,21.859640
21.430338,20.956021,21.810601
21.400099,20.949550,21.876489
21.382684,21.008758,21.820864
21.433982,21.029966,21.824052
21.377399,21.036505,21.853270
21.407111,20.968661,21.833186
21.468443,20.958796,21.809027
21.418127,20.965424,21.885000
21.392712,20.988091,21.772251
21.396865,20.989303,21.856798
21.340443,20.921053,21.869264
21.419868,20.978319,21.850733
21.397876,20.974059,21.841056
21.445745,20.988068,21.777461
21.382388,20.966827,21.831639
21.363577,20.975169,21.889364
21.397174,20.950117,21.829163
21.429777,20.921653,21.817747
21.380332,20.902646,21.795582
21.429059,20.924381,21.848682
21.396984,20.928139,21.839875
21.398213,20.969379,21.840798
21.412009,20.960653,21.853128
21.414260,20.976357,21.818783
21.409596,21.037353,21.838685
21.399025,20.957158,21.838143
21.408149,20.963300,21.840912
21.396981,20.985186,21.800788
21.370971,20.956034,21.799903
21.380780,20.941830,21.821637
21.379830,20.943443,21.830081
21.366298,20.939801,21.818913
21.396139,20.936115,21.828345
21.395558,20.953680,21.887399
21.411743,20.998539,21.815541
21.426008,21.000460,21.872525
21.348451,20.999798,21.838752
21.389583,20.974862,21.854752
21.397038,20.960928,21.832015
21.388304,20.977300,21.823476
21.401356,20.988545,21.759109
21.376600,20.968194,21.807313
21.406835,20.964466,21.797926
21.393226,20.937880,21.856078
21.409351,20.934188,21.787441
21.420541,20.959548,21.832223
21.409648,21.031409,21.864710
21.448408,20.968693,21.815978
21.409247,20.944705,21.855519
21.418797,20.995722,21.879943
21.379998,20.990307,21.849994
21.366814,20.989667,21.840528
21.401284,20.986490,21.852695
21.422242,20.907052,21.843930
21.426229,21.023861,21.810630
21.390111,20.978364,21.844321
21.407818,21.002769,21.796308
21.396981,20.972556,21.823035
21.415268,20.977044,21.843888
21.405241,20.984150,21.858792
