UC1,UC2,UC3,UC4,IUC
62.500000,26.665988,31.160213,23.280617,44.767803
59.000000,28.695072,31.148137,22.465577,43.218131
65.000000,24.871584,28.754062,22.177645,45.133882
57.500000,18.880137,29.795905,20.528154,31.676049
63.000000,27.459008,31.865025,23.331197,45.275872
53.000000,21.555638,24.748770,20.267263,37.595279
59.000000,22.899407,26.822128,20.880845,41.267063
54.000000,20.727743,26.078701,19.894610,38.116842
53.500000,20.032233,25.972893,20.204969,37.785016
57.000000,22.494217,27.403007,20.908055,40.300880
58.500000,19.048875,29.274302,20.476709,31.824972
60.000000,21.400442,27.969202,21.026862,41.732751
62.000000,24.404958,28.794879,21.875046,43.512481
54.500000,21.233394,26.938232,20.547090,38.703119
58.000000,24.659602,28.934997,21.292735,41.481222
59.000000,24.232836,32.812519,22.673051,34.679601
61.500000,25.435542,32.624163,23.095343,44.275841
58.500000,20.028585,25.533262,20.154843,40.202782
54.500000,22.904635,27.069945,20.553070,39.004608
57.500000,24.050646,30.351119,21.939992,41.473626
56.500000,22.773609,30.434600,21.425694,40.688984
63.000000,28.052635,33.685894,23.490622,45.704859
58.000000,21.766935,27.008193,20.965661,40.623465
54.000000,22.113477,28.581146,20.968640,38.943877
59.000000,20.859230,25.602763,20.580428,40.673737
57.000000,22.713125,26.028220,20.637830,40.063196
55.000000,20.955253,23.651405,19.950413,38.259512
62.000000,19.856405,27.001655,20.734644,32.398176
60.500000,22.462715,26.376898,21.185306,41.920820
60.500000,25.862722,28.742627,22.046515,43.025311
52.500000,20.409204,24.900962,20.277315,37.181247
59.000000,24.981198,31.241095,22.343486,42.594297
58.500000,21.860828,31.782748,21.595655,33.434808
65.000000,24.390188,31.490504,22.018891,45.483264
60.500000,22.366890,30.380117,21.719998,33.741751
59.000000,22.449825,29.597928,21.654384,41.783690
60.500000,23.115766,26.471999,21.345561,42.072221
62.000000,25.801991,32.485856,22.465925,44.458962
62.500000,26.278903,32.463748,22.783209,44.837643
52.500000,22.808921,27.592785,21.091528,38.165539
54.500000,20.700007,26.358334,20.715824,38.545694
59.500000,23.531446,26.873475,21.092122,41.666174
56.000000,19.289027,24.857205,20.092222,38.706409
57.000000,24.238523,30.457729,22.087475,41.297288
61.000000,24.703193,31.246266,22.195413,43.524145
56.500000,21.722710,30.618183,20.983591,40.470747
55.000000,23.565308,26.918387,21.023023,39.417786
62.500000,26.695991,29.661820,22.651764,44.418262
62.500000,26.505674,28.712176,22.320726,44.173096
61.000000,18.593314,27.297564,20.614878,31.876439
56.500000,19.997738,27.667579,20.325157,39.581746
59.500000,20.234843,28.647806,21.158243,32.385223
63.000000,20.408826,29.672777,21.297841,33.594861
66.000000,24.399958,29.213724,22.202693,45.636062
66.000000,28.720458,33.603125,23.243135,47.261120
56.000000,19.422226,28.927612,20.915632,31.316368
60.000000,24.955473,29.569442,22.260163,42.797513
58.000000,23.381531,29.526942,21.626225,41.422450
58.000000,20.082761,27.479485,20.653769,31.554004
