UC1,UC2,UC3,UC4,IUC
60.500000,26.365114,30.195046,22.660659,43.453470
61.000000,25.037145,34.748772,22.807804,44.265620
53.000000,22.979428,27.131351,21.222304,38.388847
49.500000,20.141296,23.614835,19.897433,35.358927
59.500000,20.549258,31.946343,21.182727,42.029721
59.500000,25.652547,28.804392,21.821940,42.463146
59.500000,28.527702,31.142333,22.501460,43.445249
58.500000,23.851951,29.539968,21.546804,41.739787
49.500000,18.653679,26.480279,19.751182,35.564190
55.000000,24.205581,25.469271,20.893341,39.261366
58.000000,24.623584,31.431300,22.082580,42.022911
55.000000,20.361302,25.623081,20.424902,38.568214
55.500000,19.435277,28.582743,20.575661,39.182280
58.500000,23.269971,31.195930,21.467629,41.905588
52.000000,19.659128,25.088646,19.461878,36.701608
62.500000,20.646193,31.270518,21.215420,33.908033
58.000000,22.007168,28.251279,21.024352,40.880466
53.000000,21.243129,27.771525,20.395178,38.068305
58.000000,23.872731,29.767663,21.789795,41.571698
57.000000,20.319501,30.764167,21.077713,40.526897
54.000000,20.127747,29.276152,20.742288,38.691031
54.500000,18.545374,28.735782,20.163724,30.486220
50.500000,23.748920,28.169359,20.692448,37.351788
55.000000,20.390373,27.713458,20.525431,38.938210
61.500000,24.402665,32.649480,22.261509,43.968942
54.500000,19.922919,28.498190,20.254759,38.695978
58.500000,26.680733,32.508766,22.773149,42.910441
55.500000,19.596766,28.120874,20.923477,39.190186
57.500000,23.764452,31.350131,21.993537,41.601353
54.500000,24.866225,26.822522,21.304818,39.415594
57.000000,22.148591,28.515318,21.481767,40.524279
62.000000,24.428046,29.466429,22.517347,43.735304
54.500000,21.299956,28.493057,21.031788,39.054133
61.000000,21.671982,27.420501,21.155014,42.207916
57.000000,18.036962,26.993934,20.077173,30.527017
58.500000,18.974952,28.495056,20.724975,31.673746
58.000000,26.234897,29.894635,22.169853,42.049898
57.500000,24.652163,29.804559,21.882330,41.473175
63.500000,26.545361,27.835054,22.668163,44.591430
54.000000,19.803811,26.918041,20.302353,38.170701
57.500000,23.174788,29.730451,21.324325,41.121594
56.000000,21.422642,31.631164,21.654612,40.451403
54.500000,20.998349,29.523062,21.271543,39.215492
55.000000,20.799718,27.884097,20.210499,38.982386
60.500000,20.606376,30.413862,21.250099,42.295056
50.000000,18.826061,23.925913,18.876357,35.271389
58.500000,25.819368,29.691712,21.923066,42.155691
55.500000,19.041303,26.798344,20.568564,38.818035
54.000000,24.267439,28.963814,21.083602,39.385809
56.500000,25.028637,29.071273,21.565846,40.860959
61.000000,28.111756,29.348545,22.003574,43.743979
56.500000,21.401171,30.770314,21.664724,40.556035
59.500000,26.074053,29.297891,22.331977,42.700653
56.000000,19.155037,27.378165,19.984196,39.086233
57.500000,28.201112,35.211619,23.506889,43.236603
58.000000,25.373842,31.762925,22.374291,42.251843
56.000000,20.198649,30.322402,21.413068,31.983530
57.500000,19.499522,27.080769,20.109001,39.864882
57.000000,20.526041,27.734861,20.772785,40.005614
59.000000,20.805867,28.248761,20.849415,41.150674
60.500000,29.631739,34.694399,24.063368,44.981584
57.500000,20.368716,28.156254,20.429468,40.242406
57.500000,27.320731,32.508370,22.613460,42.490427
57.000000,22.956223,31.075148,21.947034,41.163068
55.000000,20.478772,25.867626,20.390919,38.622886
59.000000,24.221175,31.678709,21.899385,42.466545
55.500000,20.789217,27.146017,20.646890,39.180354
60.500000,21.679253,30.124938,21.405015,42.451534
60.000000,23.225394,27.557638,21.596277,42.063218
60.000000,24.305682,30.163773,22.015037,42.747415
55.000000,18.718095,28.381308,20.377517,30.619230
53.500000,20.750324,27.940139,21.168662,38.393188
57.000000,21.155050,27.711552,20.376187,40.040465
55.000000,22.021972,26.113024,20.916972,39.008661
56.000000,20.672791,30.989588,21.672776,32.333789
57.000000,22.142888,27.699957,21.093409,40.322709
48.000000,21.116727,27.166382,20.394765,35.446312
64.000000,25.026974,30.743542,22.286676,45.009532
56.000000,30.169215,28.720909,22.064490,41.492436
58.500000,22.963665,31.492039,21.500972,41.909446
53.000000,22.080266,27.470657,21.270962,38.303648
57.500000,20.148770,30.575021,21.201842,32.356408
60.500000,25.003831,32.361743,22.448919,43.552415
59.000000,24.996352,30.143344,22.188391,42.388014
57.000000,19.125873,27.806337,20.058744,39.665159
58.000000,23.424749,28.084677,21.068922,41.096391
59.000000,24.292180,30.817943,21.829903,42.323338
57.500000,22.768790,28.870963,21.617455,40.959535
57.000000,18.900761,27.858168,20.324496,39.680571
55.000000,25.654618,30.991678,21.978577,40.604146
60.500000,19.092295,28.505054,20.412593,41.584990
63.500000,25.176811,31.035346,22.336126,44.841381
60.000000,22.171228,29.797477,21.159020,42.187954
55.000000,18.872157,26.304351,19.888771,38.344213
62.500000,27.135200,34.789970,23.328068,45.458873
60.000000,20.262250,28.678655,21.068740,41.668274
56.000000,23.101924,28.167680,21.262535,40.088690
56.500000,21.897035,27.080192,21.054503,39.921955
56.000000,26.561923,29.659536,22.320458,41.090320
60.000000,23.791411,29.271466,21.650961,42.452306
59.500000,28.228436,33.108692,23.132786,43.828319
59.000000,24.206343,27.355204,21.636620,41.699694
58.000000,22.420017,30.532396,21.830476,41.463815
57.000000,20.158165,26.700385,20.473167,39.721953
59.000000,27.399412,30.553603,22.794229,42.957874
61.500000,28.931110,27.968267,22.960623,44.060000
49.500000,20.171085,26.742393,19.931346,35.890804
55.500000,18.669470,26.142599,19.736991,38.508177
60.500000,26.000487,34.257179,23.098218,44.142647
57.500000,23.260782,28.216818,21.677665,40.942544
61.500000,25.351129,29.672961,22.212191,43.622714
56.000000,20.241550,27.240681,19.872651,39.225814
54.000000,20.827353,26.191445,19.992220,38.168503
57.000000,24.410396,33.094370,22.653806,41.859762
56.500000,23.961662,28.347151,21.211606,40.503403
57.000000,19.188992,27.687470,20.198361,39.679137
54.000000,20.900600,28.351879,20.646033,38.649752
63.500000,23.122681,31.130517,22.195429,44.491438
65.000000,24.461589,34.958724,22.853944,46.212376
60.500000,22.181411,30.227065,21.650872,42.593225
55.000000,21.718216,26.540456,20.413068,38.945290
52.500000,21.825950,26.073284,20.386998,37.631039
59.000000,22.552266,29.613243,21.086680,41.708698
59.000000,24.684424,33.056491,22.979177,42.953349
56.000000,22.902951,29.157585,21.995256,40.342632
52.500000,20.505615,28.218001,20.422875,37.774415
53.500000,19.516882,30.153530,20.597221,38.461272
55.000000,23.203739,28.973389,21.767963,39.824182
56.500000,19.243262,27.781986,20.020518,39.424295
58.500000,20.701338,28.502016,20.978283,40.946940
58.500000,23.303315,31.872207,22.238286,42.152301
52.000000,18.103557,24.266283,19.543284,36.318854
54.000000,21.029070,27.629770,20.873833,38.588779
59.500000,22.102215,30.272527,21.505701,42.063407
52.000000,20.214096,27.458198,20.626156,37.383075
58.500000,23.575200,29.350979,21.905591,41.721962
58.500000,22.420908,31.851742,21.879768,41.942070
54.500000,23.292111,27.624758,21.253915,39.278464
59.000000,22.781859,30.557925,21.830971,42.028459
57.000000,22.645353,28.822430,21.750861,40.703107
60.500000,24.100255,30.048354,22.067384,42.952666
55.000000,27.044199,29.981725,21.956213,40.663689
56.500000,28.908597,32.201536,22.865081,42.245869
62.000000,27.111111,33.708426,23.250361,45.011650
55.000000,20.700131,28.673687,20.790688,39.194084
55.500000,22.183200,26.669243,20.625770,39.329702
58.000000,23.354029,32.224855,22.100785,41.946612
55.500000,21.044851,26.372549,21.102498,39.169983
58.500000,24.460072,31.201903,21.377994,42.089995
55.500000,23.759123,27.775413,20.998018,39.838759
65.000000,25.946694,32.772943,23.004732,46.120728
52.000000,21.783530,24.174877,20.365952,37.054060
54.500000,20.564722,27.271898,20.544638,38.646876
55.000000,20.379377,28.171954,21.069148,39.103413
57.500000,22.327338,29.563242,21.550628,40.990201
54.500000,21.952355,28.636254,21.054813,39.190570
51.000000,20.026800,26.751799,20.089352,36.644658
51.000000,20.627143,27.864300,20.567728,37.009862
53.500000,17.697067,22.740062,19.285392,36.703753
55.000000,20.094234,29.000164,20.545194,39.106599
51.500000,23.993911,28.572152,20.733402,37.966578
55.500000,21.337222,28.033599,21.042980,39.485634
57.500000,26.002855,29.325087,21.775830,41.600629
58.500000,24.024379,30.229825,21.880206,41.939068
56.500000,21.420365,29.045181,21.321818,40.214561
54.000000,17.267895,25.138187,19.099943,37.251004
59.500000,25.616158,31.484850,22.215098,42.969351
66.500000,29.715575,32.021742,23.278911,47.419371
54.500000,23.568743,27.196781,20.806403,39.178654
59.000000,25.484088,26.039053,21.455777,41.663153
59.500000,22.551854,30.286394,21.317924,42.109362
59.000000,22.676123,30.079552,21.605910,41.893598
57.500000,22.947174,31.538217,21.311669,41.382843
54.500000,22.009942,29.529050,20.638350,39.279557
52.000000,22.995272,27.234314,20.716176,37.824294
59.500000,23.236327,30.576513,22.130566,42.407234
58.000000,26.351427,27.790886,21.955363,41.682946
57.000000,24.410943,31.123171,22.405371,41.489914
